,tag,Question,Reponse
24,Droit Commercial et économique : Droit Bancaire,cloture de compte bancaire non mouvementé,"Décret n° 2006-1880 du 10 juillet 2006,fixant la liste et les conditions des servicesbancaires de base.il existe une convention entre la banque et le client qui fixe les conditions de gestion du compte de dépotµ.En application de la loi n° 2006-19 du 02 Mai 2006, notamment l’article 31(ter)modifiant et complétant la loi 2001-65 du 10 Juillet 2001 relative aux établissements de crédit etle décret n° 2006-1880 du 10Juillet 2006 ainsi que la circulaire BCT n° 2006-11 du 18 Octobre2006, la présente convention et les annexes qui en font partie intégrante fixent les conditionsgénérales et particulières de la gestion des comptes de dépôts à caractère non professionnel .Le compte qui accuse un solde créditeur égal ou inférieur à dix dinars et qui n’enregistrepas des mouvements ou des opérations effectuées par le client pendant une période de six moisest considéré en position de gel et il sera clôturé automatiquement et sans aucun préavis ."
25,Droit Commercial et économique : Droit Bancaire,"moins de 12 ans, compte épargne",les mineur ouvrent des comptes par l'intermediare de leur tuteur légal 
26,Droit Commercial et économique : Droit Bancaire,remises de chéques à l'ordre d'un mineur,pas de chèquier pour les comptes epargnes
27,Droit Commercial et économique : Droit Bancaire,"Compte joint, saisie","Oui, vous avez raison dès lors que vous êtes mariés. La banque ne peut saisir le compte joint de deux personnes mariés que si elle a pu prouver avant la saisie que les fonds provenaient exclusivement de votre épouse. C'est le droit commun et un arrêt récent français l'a confirmé. Plusieurs autres arrêts plus anciens maintiennent cette position et renvoient aux dispositions légales même si des jugements de premier niveau puissent établir le contraire et donner à tort raison à la banque.En Tunisie, la jurisprudence n'est pas différente.Nos respects"
28,Droit Commercial et économique : Droit Bancaire,"Compte joint, saisie","Bonjour Jamal et merci, au fait la saisie est opéré au profit du trésor et ni ce dernier ni la banque n'ont cherché à déterminer l'origine des fonds. Ce qui est certain c'est que aussi bien les banques que les tribunaux sont très réticents à aller à l'encontre des saisies opérées par le trésor public, la quasi majorité des oppositions aux états de liquidations et aux saisies attributions sont rejetées par les tribunaux.Je vais attaquer directement la banque sans impliquer le trésor, pour abus de confiance, détournement et extorsion de fonds....Cordialement "
29,Droit Commercial et économique : Droit Bancaire,bloquage du total du credit bancaire en cas de fin de contrat de travail,"Bonjour,Un crédit est un contrat et les conditions qui y sont prévues doivent être respectées par les deux parties : vous et la banque.Il n'existe pas de contrat de crédit qui prévoit un remboursement anticipé en cas de fin de contrat de travail. Si vous avez signé un tel contrat votre banque a eu à votre égard une attitude abusive passible de voies de recours auprès des tribunaux.Par ailleurs, au sujet de l'argent déposé dans votre compte, la banque n'a aucun droit le concernant. Vous pouvez le retirer à tout moment et si vous en êtes empêché vous pouvez établir un constat d'huissier suivi immédiatement d'une plainte, votre avocat ou votre conseil n'hésitera pas à prendre en charge votre dossier dont l'issue ne peut être qu'en votre faveur avec en sus les frais et indemnité.S'agissant du remboursement du crédit, il vous appartient de le décider selon votre volonté d'autant que la banque ne peut imposer l’origine des fonds qui serviront aux remboursements et la banque ne peut imposer qu'il s'agit de revenus salariaux. Attention, toutefois : dans la mesure où la banque vous contraindrait à le rembourser et que vous acceptez, vous pouvez refuser tous les frais car  le remboursement n'est pas volontaire outre que la aussi, les frais de remboursement envisagés peuvent être illégaux et la banque n'est pas toujours habilité à les prélever. La banque centrale et son observatoire pourront vous éclairer à ce sujet même si c'est le recours à la justice qui vous garantira vos droits et non la BCT sur laquelle il ne faut pas trop compter.Nos respects"
30,Droit Commercial et économique : Droit Bancaire,bloquage du total du credit bancaire en cas de fin de contrat de travail,"Bonjour Citation de: Jamal le 01 avril 2021, 02:32:24 pm 14:32Bonjour,Un crédit est un contrat et les conditions qui y sont prévues doivent être respectées par les deux parties : vous et la banque.Il n'existe pas de contrat de crédit qui prévoit un remboursement anticipé en cas de fin de contrat de travail. Si vous avez signé un tel contrat votre banque a eu à votre égard une attitude abusive passible de voies de recours auprès des tribunaux.Par ailleurs, au sujet de l'argent déposé dans votre compte, la banque n'a aucun droit le concernant. Vous pouvez le retirer à tout moment et si vous en êtes empêché vous pouvez établir un constat d'huissier suivi immédiatement d'une plainte, votre avocat ou votre conseil n'hésitera pas à prendre en charge votre dossier dont l'issue ne peut être qu'en votre faveur avec en sus les frais et indemnité.S'agissant du remboursement du crédit, il vous appartient de le décider selon votre volonté d'autant que la banque ne peut imposer l’origine des fonds qui serviront aux remboursements et la banque ne peut imposer qu'il s'agit de revenus salariaux. Attention, toutefois : dans la mesure où la banque vous contraindrait à le rembourser et que vous acceptez, vous pouvez refuser tous les frais car  le remboursement n'est pas volontaire outre que la aussi, les frais de remboursement envisagés peuvent être illégaux et la banque n'est pas toujours habilité à les prélever. La banque centrale et son observatoire pourront vous éclairer à ce sujet même si c'est le recours à la justice qui vous garantira vos droits et non la BCT sur laquelle il ne faut pas trop compter.Nos respectsLa banque ne peut pas t'obliger à payer la solde du crédit. Le mieux est de contacter le médiateur de la banque (indiquer sur le relevé bancaire) "
31,Droit Commercial et économique : Droit Bancaire,Clôture d'un compte courant ,"Bonjour Citation de: BBA48 le 11 décembre 2020, 08:39:27 pm 20:39Un liquidateur d’une société souhaite fermer un compte courant bancaire en dinars convertibles tenu chez une banque PRIVEE. Ce compte est resté inactif durant huit années pour diverses raisons. Il est à préciser que le compte est créditeur et qu’il n’existe aucun moyen de payement (chéquier ou carte) qui lui soit rattaché. Comme il est d’usage et à la « convention type » affichée cette banque, il présente à la banque une demande écrite de clôture de ce compte et de mise à sa disposition de son solde. L’agent chargé du suivi de ce compte l’informe verbalement que le compte a été clôturé. A noter que le liquidateur n’a reçu aucun avertissement.  L’agent accepte la demande et en donne décharge. Quelques jours après, le chef de l’agence appelle au téléphone et demande un extrait du RNE portant le cachet électronique. Le chef d’agence a justifié sa demande (bien sûr au téléphone) par le fait qu’il veut s’assurer qu’il n’y a pas eu la nomination d’un autre gestionnaire de ce compte ( ? ). Après explication par mail et production du la fiche d’identité de l’entreprise obtenue auprès du RNE et sur laquelle apparaît bien le nom du liquidateur, le chef d’agence transmet la demande au Service Contentieux ( ? ).  Ce dernier répond au liquidateur par mail - en mettant la barre assez haut - qu’il ne peut donner suite positive ou négative à la demande de clôture qu’après avoir obtenu une série de documents : statuts, PV de nomination du liquidateur, publications légales (IORT et journaux quotidiens), PV de clôture liquidation ainsi que les publications légales, déclaration sur l’honneur légalisée (svp) qu’il n’y a pas eu d’oppositions suite à la clôture de la liquidation, et de surcroit les quitus fiscal et celui de la CNSS (arrêtés depuis 2011). Est-ce la clôture de compte d’un compte courant nécessite toute cette procédure ? Est-ce que le banquier peut exiger un quitus fiscal ou celui de la CNSS ? Le liquidateur est-il obligé de produite une déclaration sur l’honneur relative aux oppositions ? Est-ce que le banquier a la même responsabilité que le liquidateur ?   Merci d’avance pour votre éclairage.     Non, le banquier n'a pas le droit de demander tous ces documents et je te conseille de contacter le médiateur de cette  banque (tu peux trouver son nom et ses cordonnés sur le relevé bancaire ou sur internet) "
32,Droit Commercial et économique : Droit Bancaire,Clôture d'un compte courant ,Merci infiniment Si Naceur.
33,Droit Commercial et économique : Droit Bancaire,Demande de procuration,"Bonjour,Pour faire simple disons que ce n'est pas la nationalité qui et importante mais la résidence en Tunisie ou non. Pour des avoirs de résidents en Tunisie sans autorisation, un mandat peut être donné à un résident. C'est le cas trivial.A l'opposé, des avoirs de non-résidents en Tunisie peuvent être gérés par des non-résidents et un mandat peut donc être donné à cet effet.Pour les cas croisés, il n'y a pas non plus d'empêchement que des avoirs de non-résidents soient gérés en Tunisie par des résidents, c'est aussi une situation fréquente.Reste le cas des avoirs de résidents dont la gestion seraient confiée à des non-résidents, une autorisation est requise à cet effet."
34,Droit Commercial et économique : Droit Bancaire,Demande de procuration,"Bonjour, merci de votre réponse, c'est très gentil, petite précision, il s'agit de ma mère et la procuration est pour moi, en revanche je n'ai pas la nationalité tunisienne, et je réside en france.Peut elle me donner une procuration ? si jamais il lui arrive quelquechose comment cela se passe t-il ? Merci d'avance."
35,Droit Commercial et économique : Droit Bancaire,Demande de procuration,"La nationalité importe peu ici c'est la résidence qui est importante.Dans la mesure où vous êtes non-résident et que les biens sur lesquels vous allez obtenir une procuration sont des biens immeubles situées en Tunisie, il est nécessaire de disposer d'une autorisation pour valider votre procuration.Par contre, pour les autres catégories de bien et notamment ceux domiciliés auprès de banques locales en Tunisie mais qui ont le statut d'avoirs de non-résidents, vous pouvez disposer d'une procuration sans autorisation. Dans ce cas , prenez l'attache de la banque pour définir les modalités et les conditions d'établissement de cette procuration.En de décès, c'est que suppose votre question, vous pourrez en tant qu'héritier, avec les autres héritiers éventuellement, disposer des fonds selon la réglementation en vigueur sans qu'il ne soit nécessaire de disposer d'une procuration.."
36,Droit Commercial et économique : Droit Bancaire,credit bancaire,"Oui, vous pourrez rencontrer des problèmes même dés que vous aurez mis les pieds en Tunisie. Le mieux est de trouver un arrangement avec votre banque même si un jugement a été émis à votre encontre."
37,Droit Commercial et économique : Droit Bancaire,contrat leasing,Bonjour Oui mais il faut avoir l'accord de la BCT Oui l'amortissement est déductible 
38,Droit Commercial et économique : Droit Bancaire,Prêter de l'argent avec de l'intérêt,"Bonsoir, Question En tant que personne physique, est ce que je peux prêter de l'argent à qqun en exigeant des intérêts en retour ?Je voudrai m'assurer qu'il n'ya pas une loi qui opposerait cette pratique sachant que tout ce que j'ai pu découvert, une loi qui interdit d'exiger un taux d'intérêt supérieur à (TMM + 5%)Réponse Oui tu peux prêter de l'argent à qlq’un en exigeant des intérêts Le taux ne doit dépasser celui fixé par l’Arrêté du 19/01/2015: portant publication des taux d’intérêt effectifs moyens et des seuils des taux d’intérêt excessifs correspondantsCdls Naceur "
39,Droit Commercial et économique : Droit Bancaire,Achat d'un bien immobilier à l'étranger ,"Bonjour,Sur le plan réglementaire, vous pourrez utiliser l'argent provenant de la vente de votre logement en Tunisie si et seulement ce logement avait été acquis avec de l'argent provenant de l'étranger cad que vous l'avez acquis en important des devises. Et même, il vus faudra une autorisation de la BCT car il ne s'agit pas d'une opération libre sur le plan changes"
40,Droit Commercial et économique : Droit Bancaire,Taux d’intérêts,"La rubrique ""Index et Taux"" a été mise à jour en conséquence."
41,Droit Commercial et économique : Droit Bancaire,Taux d’intérêts,SVP Help! Est ce que qqun pourrait me dire ou trouver le taux excessif pour le 2eme semestre 1999 (la loi datant de juillet 99) Il s'agit d'un credit moyen terme de 200 000dt sur 24 mois au taux de tmm+4 (24 mensualites de 9500dt) contracte en octobre 1999. Merci d'avance pour votre aide!
42,Droit Commercial et économique : Droit Bancaire,Allocation touristique,"Citation de: Pionnier le 23 décembre 2009, 10:33:51 am 10:33Voir https://www.facebook.com/note.php?note_id=221375421267Merci Pionnier Avec JurisiteTunisie facebook est en train de prendre une autre dimension !!!!Slts/Naceur "
43,Droit Commercial et économique : Droit Bancaire,Domiciliation de facture et règlement,"Citation de: dreaman le 13 novembre 2009, 11:09:15 am 11:09Une facture d'un fournisseur étranger (italien) a été domiciliée dans une banque X.Est-il possible que le client (tunisien) procède au règlement de ladite facture via une autre banque Y? comment faire?Oui, en éffectuant un virement (en devise) réservé (au nom du fournisseur étranger) à la Banque domiciliatrice  Remaque : La Banque domiciliatrice  n'a pas le droit d'utiser ces fonds pour  autre chose (même si le compte est en dépassement) Slts/Naceur "
44,Droit Commercial et économique : Droit Bancaire,dette garantie partiellement par une sûreté,"Bjr, Merci Pionnier Citation de: Pionnier le 10 novembre 2009, 04:24:18 pm 16:24Par un arrêt du 6 novembre 2009, la Cour de cassation réunie en assemblé plénière, décide que « lorsqu'un gage garantit partiellement une dette, le versement résultant de sa réalisation s'impute sur le montant pour lequel la sûreté a été consentie ».Je pense (حسب علمي القاصـر) que, dans notre législation,  c'est une résultante de l'article 1490 du COC En effet, l'article 1490 du COC stipule que : "" Le cautionnement ne peut excéder ce qui est dû par le débiteur, sauf en ce qui concerne le terme.""Slts/Naceur  "
45,Droit Commercial et économique : Droit Bancaire,Perte de Chance,"Citation de: Pionnier le 22 octobre 2009, 04:15:03 pm 16:15La COUR de Cassation Française vient de décider:Le préjudice né du manquement du banquier à son devoir de mise en garde s'analyse en la perte d'une chanceSource : Cass. com., 20 oct. 2009, n° 08-20.274, FS-P+B+IPeut-on suivre l'exemple?Oui, mais après 20 ansSlts/Naceur "
46,Droit Commercial et économique : Droit Bancaire,limitation du montant qu'on peut transférer de la Tun=> Fr après vente bien immo,Ce message a été posté  2 fois sur les forums Voir ce fil (Questions courtes en droit immobilier) : transfert de devise de Tunisie à France suite à investissement immobilier 
47,Droit Commercial et économique : Droit Bancaire,Probleme Saisie-Arret sur compte bancaire,A voir aussi :  Un compte de dépôt ne peut pas être rendu débiteur 
48,Droit Commercial et économique : Droit Bancaire,Probleme Saisie-Arret sur compte bancaire,"Citation de: af1989 le 21 août 2009, 06:12:51 pm 18:12tout d'abord Romdhankom mabrouk.Alik wa Alina Citation de: af1989 le 21 août 2009, 06:12:51 pm 18:12Je me demande pourquoi ils ne se sont manifestes que maintenant alors qu'ils avaient mon adresse dans le second compte qu'ils ont saisi?Procudéralement, ils sont tenus de t'adreser la mise en demeure dans l'adresse du compte ( càd ancienne adresse). Enoutre tu es dans l'obligation d'informer la banque par écrit en cas de changement d'adresse Citation de: af1989 le 21 août 2009, 06:12:51 pm 18:12Et est-ce que cette absence d'avertissement représente une faille de jugement?Non, Voir L'Article 8 du CPSC  Citation de: af1989 le 21 août 2009, 06:12:51 pm 18:12Et enfin est-ce qu'ils ont le droit de saisir un compte different sans me prevenir prealablement?Oui, c'est un jugement (ou une ordonnance sur requête) qui a autorisé la saisie-arrêt Citation de: af1989 le 21 août 2009, 06:12:51 pm 18:12Merci d'avance pour votre réponse et pour les précisions que vous pourrez me donner sur le recourt que je peux mener en justice ou a l'amiableLe mieux c'est de trouver une solution à l'amiable (exemple consolidation de ces agios en un crédit bancaire) Une dernière remarque  : L'Article 385 du COC stipule que : "" La prescription n'éteint pas l'action de plein droit ; elle doit être invoquée par celui qui y a intérêt. Le Juge ne peut suppléer d'office le moyen résultant de la prescription. ""Slts/Naceur "
49,Droit Commercial et économique : Droit Bancaire,Probleme Saisie-Arret sur compte bancaire,"Alors moi je vais me hasarder et dire qu'ils n'ont pas le droit et que c'est une saisie arrêt illégale.Ce Mr dit que sont des agios qui datent de 1974!!!!!!!!!!!35 ansLa dette est prescrite. L'article 737 code de commerce renvoi au droit commun.Autre chose: la banque est de mauvaise foi. Le MONSIEUR a 2 comptes chez elle. Si elle aurait voulu l'aviser, elle aurait pu le faire puisque il est toujours avec elle. D'ailleurs, quand elle a voulu le trouver, elle l'a fait.Ceci étant dit, il manque beaucoup d'éléments à cette question pour qu'on se prononce de manière +/- sérieuse CiterJ'ai eu un problème aujourd'hui avec mon compte bancaire car j'ai découvert qu'il y avait une saisie sur les fond s'y trouvant.En demandant la cause au huissier qui s'occupe de cette affaire,il m'a répondu que la banque demande remboursement de 3000dt d'agios1- On saisie pas sans avertir. 2- de la découverte de la saisie on passe directement au huissier?3- 3000 d'agios? "
50,Droit Commercial et économique : Droit Bancaire,Probleme Saisie-Arret sur compte bancaire,"Tout d'abord merci beaucoup pour vos reponses.Je precise que mon compte ne contenait pas que 3000dt, ensuite que ces agios ne sont pas de 1974 mais je pense qu'ils resultent de prescription precedente et enfin, avec tout mon respect, si je fais une consolidation en credit bancaire je paierai plus avec d'autres agios sur ce credit.Je pense aussi que cette execution du jugement reste illegale ou peut etre defaillante.Merci encore pour touts les efforts que vous procurez a ce forum"
51,Droit Commercial et économique : Droit Bancaire,PAYPAL en Tunisie,"Citation de: JMLDJ le 13 août 2009, 04:16:14 pm 16:16Peut-on ouvrir un compte Paypal sur internet quand on est domicilié en Tunisie ?En Tunisie pour avoir un compte PayPal fonctionnel ,  il faut être détenteur d'un compte bancaire ""en devise ""ou en ""dinars convertible""  et ayant droit à une carte bancaire internationaleSlts/Naceur "
52,Droit Commercial et économique : Droit Bancaire,Compte chèque,faut pas s'attendre à voir la conversion se faire sans taxe. donc...
53,Droit Commercial et économique : Droit Bancaire,Compte chèque,"L'UIB perçoit, au maximum, sur tout virement reçu de l'étranger 10DT + 0.1% + TVA.On peut connaître les frais prélevés par les banques sur ce site : Observatoire des Services Bancaires"
54,Droit Commercial et économique : Droit Bancaire,Compte chèque,"Merci Pionnier,Ibn Haldun pour vos réponsesL’UIB perçoit 0.944DT sur le virement selon le relevé de compte, il est figurer sur les libelles du relevé : virement confrère CCP opération EURO/GIRO 49,956DT"
55,Droit Commercial et économique : Droit Bancaire,Lettre de crédit + service réalisé à l'étranger,"Citation de: mylo le 11 août 2009, 08:13:12 pm 20:13Dans le cas d'un service réalisé à létranger, est-ce qu'un fournisseur peut demander à son client étranger d'emettre une lettre de crédit auprès de sa banque pour garantir son paiement sinon quelles garanties peut-il exiger?Pour la lettre de crédit, je ne pense pas que c'est envisageable pourvue qu'il n'y a pas de documents justifiant l'exportattion et le transport L'assurance crédit, proposée notamment par la COTUNACE vous garantit contre les risques de non-paiement Slts/Naceur "
56,Droit Commercial et économique : Droit Bancaire,IBAN Canada,"Citation de: yaz2fr le 03 août 2009, 12:37:19 pm 12:37 Est-ce que l'IBAN n'existe pas dans le systéme bancaire Canadien, ? Et pour effectuer un virement vers le Canada Est-ce que le numéro de compte bancaire interne national (et non international)+ SWIFT de la banque suffisent seulement ? Oui, pour le Canada  il n'y a pas d'IBAN (International Bank Account Number)Le virement bancaire vers le Canada se fait par SWIFT et tu peux même le faire via western union ou un mandat international En surfant sur le net, j'ai trouvé ce document : Liste des pays exigeant l'IBAN (fichier PDF)Slts/Naceur "
57,Droit Commercial et économique : Droit Bancaire,IBAN Canada,"Voici comment en pratique on procède a niveau des banques pour les virements vers le Canada: Mettre dans la zone code IBAN : ""CAT2"" suivi le numéro du compte chez la banque canadienne du bénéficiaire (sans les """")."
58,Droit Commercial et économique : Droit Bancaire,carte credit international ,C'est à une Banque de la place que tu dois demander ça.  
59,Droit Commercial et économique : Droit Bancaire,carte credit international ,quand tu aura cette carte dit moi comment tu l'as fais stp  Merci
60,Droit Commercial et économique : Droit Bancaire,carte credit international ,"Pour avoir acces a ce genre de carte international il faut avoir un compte en devise ou en dinars convertibles, apres selon la banques et la relation client /banquier la delivrance de la carte fait l'objet d'une somme d'argent prevue comme cautionnemnt 10 miles dinars dans mon cas... "
61,Droit Commercial et économique : Droit Bancaire,Compte professionnel en devises,"Les comptes professionnels en devises peuvent être débités sans autorisation préalable pour:a) - le règlement partiel ou total, selon les conditions et modalités prévues par la réglementation des changes et du commerce extérieur en vigueur, des opérations courantes afférentes à l'activité au titre de laquelle le compte à débiter est ouvert ainsi que le règlement de toute autre opération autorisée à titre particulier ou général ;b) - des opérations de placement conformément à la réglementation des changes et du commerce extérieur en vigueur;c) - Le crédit d'un autre compte professionnel du même titulaire tenu dans la même devise que le compte professionnel à débiter ;d) - le crédit d'un autre compte professionnel tenu en une autre devise du même titulaire. Le débit du compte doit intervenir au moment de l'utilisation des disponibilités du compte crédité pour le règlement des opérations prévues à l'alinéa a) ci-dessus.e) - la cession des devises à la Banque Centrale de Tunisie.Toute autre opération au débit du compte professionnel est soumise à l'autorisation préalable de la Banque Centrale de Tunisie Source : Circulaire de la BCT aux IA n° 93-14 du 15 septembre 1993 telle que modifiée par les circulaires aux IA n°99-05 du 19 avril 1999, n°2003-13 du 12 novembre 2003 et n° 2005-01 du 3 janvier 2005. Slts/Naceur "
62,Droit Commercial et économique : Droit Bancaire,"Compte joint, saisie","Oui, vous avez raison dès lors que vous êtes mariés. La banque ne peut saisir le compte joint de deux personnes mariés que si elle a pu prouver avant la saisie que les fonds provenaient exclusivement de votre épouse. C'est le droit commun et un arrêt récent français l'a confirmé. Plusieurs autres arrêts plus anciens maintiennent cette position et renvoient aux dispositions légales même si des jugements de premier niveau puissent établir le contraire et donner à tort raison à la banque.En Tunisie, la jurisprudence n'est pas différente.Nos respects"
63,Droit Commercial et économique : Droit Bancaire,"Compte joint, saisie","Bonjour Jamal et merci, au fait la saisie est opéré au profit du trésor et ni ce dernier ni la banque n'ont cherché à déterminer l'origine des fonds. Ce qui est certain c'est que aussi bien les banques que les tribunaux sont très réticents à aller à l'encontre des saisies opérées par le trésor public, la quasi majorité des oppositions aux états de liquidations et aux saisies attributions sont rejetées par les tribunaux.Je vais attaquer directement la banque sans impliquer le trésor, pour abus de confiance, détournement et extorsion de fonds....Cordialement "
64,Droit Commercial et économique : Droit Bancaire,bloquage du total du credit bancaire en cas de fin de contrat de travail,"Bonjour,Un crédit est un contrat et les conditions qui y sont prévues doivent être respectées par les deux parties : vous et la banque.Il n'existe pas de contrat de crédit qui prévoit un remboursement anticipé en cas de fin de contrat de travail. Si vous avez signé un tel contrat votre banque a eu à votre égard une attitude abusive passible de voies de recours auprès des tribunaux.Par ailleurs, au sujet de l'argent déposé dans votre compte, la banque n'a aucun droit le concernant. Vous pouvez le retirer à tout moment et si vous en êtes empêché vous pouvez établir un constat d'huissier suivi immédiatement d'une plainte, votre avocat ou votre conseil n'hésitera pas à prendre en charge votre dossier dont l'issue ne peut être qu'en votre faveur avec en sus les frais et indemnité.S'agissant du remboursement du crédit, il vous appartient de le décider selon votre volonté d'autant que la banque ne peut imposer l’origine des fonds qui serviront aux remboursements et la banque ne peut imposer qu'il s'agit de revenus salariaux. Attention, toutefois : dans la mesure où la banque vous contraindrait à le rembourser et que vous acceptez, vous pouvez refuser tous les frais car  le remboursement n'est pas volontaire outre que la aussi, les frais de remboursement envisagés peuvent être illégaux et la banque n'est pas toujours habilité à les prélever. La banque centrale et son observatoire pourront vous éclairer à ce sujet même si c'est le recours à la justice qui vous garantira vos droits et non la BCT sur laquelle il ne faut pas trop compter.Nos respects"
65,Droit Commercial et économique : Droit Bancaire,bloquage du total du credit bancaire en cas de fin de contrat de travail,"Bonjour Citation de: Jamal le 01 avril 2021, 02:32:24 pm 14:32Bonjour,Un crédit est un contrat et les conditions qui y sont prévues doivent être respectées par les deux parties : vous et la banque.Il n'existe pas de contrat de crédit qui prévoit un remboursement anticipé en cas de fin de contrat de travail. Si vous avez signé un tel contrat votre banque a eu à votre égard une attitude abusive passible de voies de recours auprès des tribunaux.Par ailleurs, au sujet de l'argent déposé dans votre compte, la banque n'a aucun droit le concernant. Vous pouvez le retirer à tout moment et si vous en êtes empêché vous pouvez établir un constat d'huissier suivi immédiatement d'une plainte, votre avocat ou votre conseil n'hésitera pas à prendre en charge votre dossier dont l'issue ne peut être qu'en votre faveur avec en sus les frais et indemnité.S'agissant du remboursement du crédit, il vous appartient de le décider selon votre volonté d'autant que la banque ne peut imposer l’origine des fonds qui serviront aux remboursements et la banque ne peut imposer qu'il s'agit de revenus salariaux. Attention, toutefois : dans la mesure où la banque vous contraindrait à le rembourser et que vous acceptez, vous pouvez refuser tous les frais car  le remboursement n'est pas volontaire outre que la aussi, les frais de remboursement envisagés peuvent être illégaux et la banque n'est pas toujours habilité à les prélever. La banque centrale et son observatoire pourront vous éclairer à ce sujet même si c'est le recours à la justice qui vous garantira vos droits et non la BCT sur laquelle il ne faut pas trop compter.Nos respectsLa banque ne peut pas t'obliger à payer la solde du crédit. Le mieux est de contacter le médiateur de la banque (indiquer sur le relevé bancaire) "
66,Droit Commercial et économique : Droit Bancaire,Clôture d'un compte courant ,"Bonjour Citation de: BBA48 le 11 décembre 2020, 08:39:27 pm 20:39Un liquidateur d’une société souhaite fermer un compte courant bancaire en dinars convertibles tenu chez une banque PRIVEE. Ce compte est resté inactif durant huit années pour diverses raisons. Il est à préciser que le compte est créditeur et qu’il n’existe aucun moyen de payement (chéquier ou carte) qui lui soit rattaché. Comme il est d’usage et à la « convention type » affichée cette banque, il présente à la banque une demande écrite de clôture de ce compte et de mise à sa disposition de son solde. L’agent chargé du suivi de ce compte l’informe verbalement que le compte a été clôturé. A noter que le liquidateur n’a reçu aucun avertissement.  L’agent accepte la demande et en donne décharge. Quelques jours après, le chef de l’agence appelle au téléphone et demande un extrait du RNE portant le cachet électronique. Le chef d’agence a justifié sa demande (bien sûr au téléphone) par le fait qu’il veut s’assurer qu’il n’y a pas eu la nomination d’un autre gestionnaire de ce compte ( ? ). Après explication par mail et production du la fiche d’identité de l’entreprise obtenue auprès du RNE et sur laquelle apparaît bien le nom du liquidateur, le chef d’agence transmet la demande au Service Contentieux ( ? ).  Ce dernier répond au liquidateur par mail - en mettant la barre assez haut - qu’il ne peut donner suite positive ou négative à la demande de clôture qu’après avoir obtenu une série de documents : statuts, PV de nomination du liquidateur, publications légales (IORT et journaux quotidiens), PV de clôture liquidation ainsi que les publications légales, déclaration sur l’honneur légalisée (svp) qu’il n’y a pas eu d’oppositions suite à la clôture de la liquidation, et de surcroit les quitus fiscal et celui de la CNSS (arrêtés depuis 2011). Est-ce la clôture de compte d’un compte courant nécessite toute cette procédure ? Est-ce que le banquier peut exiger un quitus fiscal ou celui de la CNSS ? Le liquidateur est-il obligé de produite une déclaration sur l’honneur relative aux oppositions ? Est-ce que le banquier a la même responsabilité que le liquidateur ?   Merci d’avance pour votre éclairage.     Non, le banquier n'a pas le droit de demander tous ces documents et je te conseille de contacter le médiateur de cette  banque (tu peux trouver son nom et ses cordonnés sur le relevé bancaire ou sur internet) "
67,Droit Commercial et économique : Droit Bancaire,Clôture d'un compte courant ,Merci infiniment Si Naceur.
68,Droit Commercial et économique : Droit Bancaire,Demande de procuration,"Bonjour,Pour faire simple disons que ce n'est pas la nationalité qui et importante mais la résidence en Tunisie ou non. Pour des avoirs de résidents en Tunisie sans autorisation, un mandat peut être donné à un résident. C'est le cas trivial.A l'opposé, des avoirs de non-résidents en Tunisie peuvent être gérés par des non-résidents et un mandat peut donc être donné à cet effet.Pour les cas croisés, il n'y a pas non plus d'empêchement que des avoirs de non-résidents soient gérés en Tunisie par des résidents, c'est aussi une situation fréquente.Reste le cas des avoirs de résidents dont la gestion seraient confiée à des non-résidents, une autorisation est requise à cet effet."
69,Droit Commercial et économique : Droit Bancaire,Demande de procuration,"Bonjour, merci de votre réponse, c'est très gentil, petite précision, il s'agit de ma mère et la procuration est pour moi, en revanche je n'ai pas la nationalité tunisienne, et je réside en france.Peut elle me donner une procuration ? si jamais il lui arrive quelquechose comment cela se passe t-il ? Merci d'avance."
70,Droit Commercial et économique : Droit Bancaire,Demande de procuration,"La nationalité importe peu ici c'est la résidence qui est importante.Dans la mesure où vous êtes non-résident et que les biens sur lesquels vous allez obtenir une procuration sont des biens immeubles situées en Tunisie, il est nécessaire de disposer d'une autorisation pour valider votre procuration.Par contre, pour les autres catégories de bien et notamment ceux domiciliés auprès de banques locales en Tunisie mais qui ont le statut d'avoirs de non-résidents, vous pouvez disposer d'une procuration sans autorisation. Dans ce cas , prenez l'attache de la banque pour définir les modalités et les conditions d'établissement de cette procuration.En de décès, c'est que suppose votre question, vous pourrez en tant qu'héritier, avec les autres héritiers éventuellement, disposer des fonds selon la réglementation en vigueur sans qu'il ne soit nécessaire de disposer d'une procuration.."
71,Droit Commercial et économique : Droit Bancaire,credit bancaire,"Oui, vous pourrez rencontrer des problèmes même dés que vous aurez mis les pieds en Tunisie. Le mieux est de trouver un arrangement avec votre banque même si un jugement a été émis à votre encontre."
72,Droit Commercial et économique : Droit Bancaire,contrat leasing,Bonjour Oui mais il faut avoir l'accord de la BCT Oui l'amortissement est déductible 
